"","day","temp","dewp","wdsp","NUM_CRIME"
"225",4,75.6,59.9,7.8,0.876903906041423
"226",5,79.4,65.9,8.3,1.20147987126373
"227",6,78,67.2,6.2,1.40433984952767
"229",1,81.2,67.3,6.9,0.295371968351458
"230",2,75.8,66.7,7.1,0.579375937920976
"231",3,73.9,62.6,12.2,0.985095894448858
"232",4,67.2,52,14,1.60719982779161
"234",6,75.3,55.5,7.8,1.70186781764812
"235",7,74.1,58.9,9.9,1.17443187416187
"236",1,67.4,48.8,11.4,0.0654639929856577
"237",2,65.4,47.6,8.6,0.646995930675623
"238",3,64.2,52,5.3,0.985095894448858
"239",4,65.5,52.8,3.8,0.606423935022835
"240",5,68.8,57.3,4.9,1.17443187416187
"241",6,70.8,62.3,5.6,0.552327940819117
"242",7,71,63.9,4.3,1.09328788285629
"243",1,74.8,65.4,2.3,0.349467962555176
"245",3,82.2,69,7.6,1.10681188140722
"247",5,76.9,66.9,6.1,1.29614786112024
"248",6,76.9,66.5,6.2,0.619947933573764
"249",7,82.8,65.7,6.9,1.33671985677302
"250",1,83.6,66.9,7.5,1.20147987126373
"251",2,80,69.1,8,-0.0292039968708482
"252",3,72.4,61.2,6.2,-0.110347988176425
"253",4,66.6,56.2,4.5,-0.827119911375684
"254",5,63.4,56,7.2,-0.380827959195013
"255",6,59.2,46,10.5,0.0654639929856577
"256",7,60.3,44,6.8,0.200703978494952
"257",1,67.4,47.9,9.3,0.958047897347
"258",2,73.7,52,10.2,1.24205186691652
"259",3,73.5,51.3,8.6,0.633471932124694
"260",4,75,58,9.3,-0.0292039968708482
"261",5,74.2,66.4,8.8,0.971571895897929
"262",6,66.8,56.8,9.6,0.985095894448858
"263",7,62.4,48.6,3.2,1.24205186691652
"264",1,64.5,48.8,5.6,0.214227977045881
"265",2,67.8,50.7,4.8,0.768711917633988
"266",3,70.6,51,4.6,1.53957983503696
"267",4,69.7,55.7,6,-0.0427279954217777
"268",5,69.6,57.8,7.1,1.22852786836559
"269",6,69.2,57.5,7.6,0.985095894448858
"270",7,70.1,58.7,6.5,1.10681188140722
"271",1,72.4,62.9,5.2,0.457659950962611
"272",2,67.6,58.6,9.3,-0.678355927315461
"273",3,59.2,44.2,15.2,-0.556639940357096
"275",5,56.6,40,19.1,1.07976388430536
"276",6,52.9,39.1,17.7,-0.150919983829213
"277",7,53.4,46.3,13,-0.894739904130331
"278",1,58.4,53.2,7.4,0.48470794806447
"279",2,60.8,54.1,5.7,0.444135952411682
"280",3,62.3,53.8,5.5,-0.0156799983199188
"281",4,64.5,52.1,7.7,-0.245587973685719
"282",5,62,50.4,10.9,1.02566789010165
"283",6,55.6,42.6,5,0.119559987189375
"284",7,63.3,45.4,9.8,0.214227977045881
"285",1,68.2,47.1,12.6,0.146607984291234
"286",2,57.5,40.5,10.7,0.295371968351458
"287",3,54.4,38.7,6.6,0.606423935022835
"288",4,57.3,35.1,9.5,1.30967185967116
"289",5,51.1,28.9,8.8,0.200703978494952
"290",6,44.8,21.5,8.5,-0.177967980931072
"291",7,46.8,26.9,2.8,-0.597211936009884
"292",1,57.7,29,13.2,0.930999900245141
"293",2,65,36.3,11.5,0.890427904592353
"294",3,66.2,49.5,10.1,1.01214389155072
"295",4,61.2,48.1,7.5,0.728139921981199
"296",5,57.4,43.2,9.7,0.782235916184917
"297",6,63.8,56.7,11.9,0.619947933573764
"298",7,52.8,38.1,6.1,0.119559987189375
"299",1,52.2,37.6,4.8,0.836331910388635
"300",2,54.7,41.5,9.6,-0.92178790123219
"301",3,53.8,49.5,11.9,-0.502543946153378
"302",4,42.2,31.5,15.2,-0.678355927315461
"303",5,46.9,35.8,4.5,0.768711917633988
"304",6,48.8,41,8.8,0.0248919973328695
"306",1,60.3,43.2,8.9,0.890427904592353
"307",2,61,49,5.7,0.403563956758893
"308",3,60.3,53.5,5.2,0.971571895897929
