"","Oct","Nov","Dec","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Jan","Fri","Mon","Sat","Sun","Thu","Tue","Wed","year","temp","dewp","wdsp","NUM_CRIME"
"137",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2015,74.3,63.4,12.8,0.833922261484099
"138",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2015,73.3,64.3,10.9,0.908127208480565
"139",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2015,70.9,60.2,11.7,0.868080094228504
"140",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2015,72,55.7,5.3,0.942285041224971
"141",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2015,75.7,62.5,8.7,0.975265017667845
"142",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2015,66,60.4,10.3,0.846878680800942
"143",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2015,48.7,42.8,15.6,0.784452296819788
"144",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2015,58,42.8,4.6,0.909305064782097
"145",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2015,65.3,50.1,6,0.915194346289753
"146",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2015,71,58,7.2,0.849234393404005
"147",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2015,66.8,57.6,11,0.925795053003534
"148",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2015,62.4,51.4,9.6,0.89281507656066
"149",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2015,68.2,59.9,9.3,0.870435806831567
"150",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2015,74.9,64.3,11.3,0.802120141342756
"151",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2015,72,57.5,5.9,0.861012956419317
"152",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2015,81.7,64.6,11.5,0.934040047114252
"153",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2015,72.1,60.1,6.2,0.944640753828033
"154",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2015,65.9,63.2,6.1,0.974087161366313
"155",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2015,69.7,62.8,5.8,0.957597173144876
"156",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2015,75.9,69.9,7.2,0.935217903415783
"157",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2015,76.4,71.8,6.7,0.870435806831567
"158",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2015,70.4,60.2,8.5,0.997644287396938
"159",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2015,63.5,52.5,4,0.850412249705536
"160",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2015,74.5,67.1,7.8,0.904593639575972
"161",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2015,63.1,53.5,10.7,0.91283863368669
"162",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2015,67.4,57.1,5.9,0.902237926972909
"163",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2015,76.8,66.6,7.8,0.92226148409894
"164",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2015,78.3,71.4,8.7,0.918727915194346
"165",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2015,77.2,61.9,9,0.862190812720848
"166",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2015,72.3,57.4,5,0.857479387514723
"167",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2015,73.4,65.2,6.7,0.923439340400471
"168",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2015,66.3,61.6,7.9,0.923439340400471
"169",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2015,66.5,54,9.2,0.851590106007067
"170",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2015,70,51.7,5,0.938751472320377
"171",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2015,70.6,63,4.4,0.884570082449941
"172",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2015,70.7,62.3,6.6,0.881036513545348
"173",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2015,62.8,54,9.3,0.891637220259128
"174",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2015,68,54,6.3,0.904593639575972
"175",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2015,72.2,56.2,3.1,0.995288574793875
"176",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2015,78.4,65.7,8.5,0.891637220259128
"177",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2015,69,57.5,12.3,0.82567726737338
"178",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2015,62.5,50.6,7.2,0.845700824499411
"179",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2015,66.3,57.4,7.2,0.790341578327444
"180",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2015,71.5,57,4.3,0.870435806831567
"181",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2015,73.7,57.2,3.7,0.939929328621908
"182",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2015,75,65.4,5.9,0.943462897526502
